machine_speed,stock_flow,filler_flow,steam_pressure,moisture,ash,caliper,predicted_basis_weight,predicted_deviation_pct,off_spec,change_penalty
802.396,72.045,16.943,5.0,5.949,7.588,92.544,90.743355,9.256645202636719,1,7.000000000000002
802.396,72.045,16.943,5.1,5.949,7.588,92.544,90.888985,9.111015319824219,1,7.999999999999998
802.396,74.045,16.943,4.5,5.949,7.588,92.544,91.069176,8.930824279785156,1,8.999999999999998
802.396,74.045,16.943,4.6,5.949,7.588,92.544,91.050865,8.949134826660156,1,8.000000000000002
802.396,74.045,16.943,4.7,5.949,7.588,92.544,90.75504,9.244956970214844,1,6.9999999999999964
802.396,74.045,16.943,4.8,5.949,7.588,92.544,90.590614,9.409385681152344,1,6.0
802.396,74.045,16.943,4.9,5.949,7.588,92.544,90.770996,9.22900390625,1,7.000000000000005
802.396,74.045,16.943,5.0,5.949,7.588,92.544,90.740845,9.2591552734375,1,8.000000000000002
802.396,74.045,16.943,5.1,5.949,7.588,92.544,90.890205,9.109794616699219,1,8.999999999999998
812.396,62.045,16.943,4.5,5.949,7.588,92.544,91.9147,8.085296630859375,1,7.999999999999998
812.396,62.045,16.943,4.6,5.949,7.588,92.544,91.89639,8.103607177734375,1,7.000000000000002
812.396,62.045,16.943,4.7,5.949,7.588,92.544,91.3553,8.644699096679688,1,5.9999999999999964
812.396,62.045,16.943,4.8,5.949,7.588,92.544,91.129715,8.870285034179688,1,5.0
812.396,62.045,16.943,4.9,5.949,7.588,92.544,91.27576,8.7242431640625,1,6.000000000000005
812.396,62.045,16.943,5.0,5.949,7.588,92.544,91.267654,8.732345581054688,1,7.000000000000002
812.396,62.045,16.943,5.1,5.949,7.588,92.544,91.412,8.587997436523438,1,7.999999999999998
812.396,64.045,16.943,4.5,5.949,7.588,92.544,91.90022,8.099777221679688,1,6.999999999999998
812.396,64.045,16.943,4.6,5.949,7.588,92.544,91.88191,8.118087768554688,1,6.000000000000002
812.396,64.045,16.943,4.7,5.949,7.588,92.544,91.34082,8.6591796875,1,4.9999999999999964
812.396,64.045,16.943,4.8,5.949,7.588,92.544,91.115234,8.884765625,1,4.0
812.396,64.045,16.943,4.9,5.949,7.588,92.544,91.26272,8.737281799316406,1,5.000000000000005
812.396,64.045,16.943,5.0,5.949,7.588,92.544,91.254616,8.745384216308594,1,6.000000000000002
812.396,64.045,16.943,5.1,5.949,7.588,92.544,91.398964,8.601036071777344,1,6.999999999999998
812.396,66.045,16.943,4.5,5.949,7.588,92.544,91.809525,8.190475463867188,1,5.999999999999998
812.396,66.045,16.943,4.6,5.949,7.588,92.544,91.7912,8.20880126953125,1,5.000000000000002
